Ingredient,Function,Group
wood powder,absorbent,Cleansing and Purifying
triticum vulgare starch,absorbent,Cleansing and Purifying
vinyldimethyl/trimethylsiloxysilicate stearyl dimethicone crosspolymer,absorbent,Cleansing and Purifying
sodium polyacrylate starch,absorbent,Cleansing and Purifying
polyethyloxazoline,absorbent,Cleansing and Purifying
cyclodextrin,absorbent,Cleansing and Purifying
oryza sativa starch,absorbent,Cleansing and Purifying
sasa senanensis leaf powder,absorbent,Cleansing and Purifying
sodium starch octenylsuccinate,absorbent,Cleansing and Purifying
acrylates crosspolymer,absorbent,Cleansing and Purifying
zea mays starch,absorbent,Cleansing and Purifying
sodium/aluminum hydroxide/oxalate/sulfate,absorbent,Cleansing and Purifying
ulva lactuca powder,absorbent,Cleansing and Purifying
umber,absorbent,Cleansing and Purifying
sodium magnesium fluorosilicate,absorbent,Cleansing and Purifying
citrus grandis peel powder,absorbent,Cleansing and Purifying
sodium/aluminum/iron hydroxide/oxalate/sulfate,absorbent,Cleansing and Purifying
tanakura clay,absorbent,Cleansing and Purifying
aluminum triphosphate,absorbent,Cleansing and Purifying
volcanic ash,absorbent,Cleansing and Purifying
sodium silver aluminum silicate,absorbent,Cleansing and Purifying
hydrolyzed corn starch octenylsuccinate,absorbent,Cleansing and Purifying
helianthus annuus seed flour,absorbent,Cleansing and Purifying
hordeum vulgare flour,absorbent,Cleansing and Purifying
hydrated silica,absorbent,Cleansing and Purifying
magnesium oxide,absorbent,Cleansing and Purifying
distarch glyceryl ether,absorbent,Cleansing and Purifying
amylodextrin,absorbent,Cleansing and Purifying
silica,absorbent,Cleansing and Purifying
orbignya speciosa mesocarp extract,absorbent,Cleansing and Purifying
potassium aluminum polyacrylate,absorbent,Cleansing and Purifying
ammonium silver zinc aluminum silicate,absorbent,Cleansing and Purifying
limonia acidissima wood powder,absorbent,Cleansing and Purifying
dimethylimidazolidinone rice starch,absorbent,Cleansing and Purifying
elguea clay,absorbent,Cleansing and Purifying
avena sativa starch,absorbent,Cleansing and Purifying
nylon-611,absorbent,Cleansing and Purifying
sodium acetyl cysteinate,absorbent,Cleansing and Purifying
clay,absorbent,Cleansing and Purifying
talc,absorbent,Cleansing and Purifying
kaolin,absorbent,Cleansing and Purifying
styrene methyltrimonium chloride crosspolymer,absorbent,Cleansing and Purifying
