Ingredient,Function,Group
moringa oleifera fruit powder,abrasive,Cleansing and Exfoliating
alumina,abrasive,Cleansing and Exfoliating
juglans mandshurica shell powder,abrasive,Cleansing and Exfoliating
olea europaea seed,abrasive,Cleansing and Exfoliating
adansonia digitata seed powder,abrasive,Cleansing and Exfoliating
salvia hispanica seed powder,abrasive,Cleansing and Exfoliating
diatomaceous earth,abrasive,Cleansing and Exfoliating
melaleuca alternifolia leaf,abrasive,Cleansing and Exfoliating
cannabis sativa seedcake powder,abrasive,Cleansing and Exfoliating
amorphophallus konjac root powder,abrasive,Cleansing and Exfoliating
glass beads,abrasive,Cleansing and Exfoliating
polyethylene,abrasive,Cleansing and Exfoliating
oryza sativa extract,abrasive,Cleansing and Exfoliating
zea mays seed flour,abrasive,Cleansing and Exfoliating
pegmatite,abrasive,Cleansing and Exfoliating
juglans regia shell powder,abrasive,Cleansing and Exfoliating
rosa centifolia flower powder,abrasive,Cleansing and Exfoliating
hordeum vulgare seed flour,abrasive,Cleansing and Exfoliating
zirconium silicate,abrasive,Cleansing and Exfoliating
viola prionantha powder,abrasive,Cleansing and Exfoliating
salt mine mud,abrasive,Cleansing and Exfoliating
polyhydroxybutyrate,abrasive,Cleansing and Exfoliating
carya illinoinensis shell powder,abrasive,Cleansing and Exfoliating
chlorella protothecoides,abrasive,Cleansing and Exfoliating
artemisia caruifolia powder,abrasive,Cleansing and Exfoliating
smilax lancefolia root/stalk powder,abrasive,Cleansing and Exfoliating
atractylodes macrocephala root/stalk powder,abrasive,Cleansing and Exfoliating
anadara kagoshimensis shell powder,abrasive,Cleansing and Exfoliating
perilla frutescens seed,abrasive,Cleansing and Exfoliating
lapis lazuli,abrasive,Cleansing and Exfoliating
jojobamidopropyl betaine,abrasive,Cleansing and Exfoliating
alluvial mud,abrasive,Cleansing and Exfoliating
mother of pearl,abrasive,Cleansing and Exfoliating
cnidium monnieri seed powder,abrasive,Cleansing and Exfoliating
prunus avium seed powder,abrasive,Cleansing and Exfoliating
avena sativa kernel flour,abrasive,Cleansing and Exfoliating
ammonium acryloyldimethyltaurate/laureth-7 methacrylate copolymer,abrasive,Cleansing and Exfoliating
microcrystalline cellulose,abrasive,Cleansing and Exfoliating
simmondsia chinensis seed extract,abrasive,Cleansing and Exfoliating
pistacia vera shell powder,abrasive,Cleansing and Exfoliating
bambusa arundinacea stem powder,abrasive,Cleansing and Exfoliating
butyrospermum parkii nut shell powder,abrasive,Cleansing and Exfoliating
macadamia ternifolia shell powder,abrasive,Cleansing and Exfoliating
rubus idaeus seed powder,abrasive,Cleansing and Exfoliating
araucaria angustifolia seed powder,abrasive,Cleansing and Exfoliating
citrus aurantium dulcis flower/leaf/stem powder,abrasive,Cleansing and Exfoliating
diospyros kaki leaf powder,abrasive,Cleansing and Exfoliating
starch laurate,abrasive,Cleansing and Exfoliating
egg shell powder,abrasive,Cleansing and Exfoliating
indium silver zinc diethyldithiocarbamate nitrate,abrasive,Cleansing and Exfoliating
streptomyces gougerotii ferment extract,abrasive,Cleansing and Exfoliating
3-hydroxybutyrate/3-hydroxyhexanoate copolymer,abrasive,Cleansing and Exfoliating
cannabis sativa seedcake,abrasive,Cleansing and Exfoliating
quercus suber bark,abrasive,Cleansing and Exfoliating
oyster shell powder,abrasive,Cleansing and Exfoliating
sea salt,abrasive,Cleansing and Exfoliating
calcium trifluoroacetate,abrasive,Cleansing and Exfoliating
honey powder,abrasive,Cleansing and Exfoliating
salix alba bark powder,abrasive,Cleansing and Exfoliating
tetrahydrojasmonic acid,abrasive,Cleansing and Exfoliating
methacryloyloxypropyl polysilsesquioxane,abrasive,Cleansing and Exfoliating
tungsten oxide,abrasive,Cleansing and Exfoliating
3-hydroxybutyrate/4-hydroxybutyrate copolymer,abrasive,Cleansing and Exfoliating
phyllostachys edulis stem powder,abrasive,Cleansing and Exfoliating
carbonado extract,abrasive,Cleansing and Exfoliating
thuja orientalis branch/leaf powder,abrasive,Cleansing and Exfoliating
myristica fragrans shell powder,abrasive,Cleansing and Exfoliating
calcium potassium sodium phosphate,abrasive,Cleansing and Exfoliating
vaccinium myrtillus seedcake powder,abrasive,Cleansing and Exfoliating
anthracite extract,abrasive,Cleansing and Exfoliating
nannochloropsis oculata powder,abrasive,Cleansing and Exfoliating
papaver rhoeas seed,abrasive,Cleansing and Exfoliating
momordica charantia leaf powder,abrasive,Cleansing and Exfoliating
ethyl lactyl retinoate,abrasive,Cleansing and Exfoliating
vaccinium corymbosum seed,abrasive,Cleansing and Exfoliating
"1,4-butanediol/succinic acid/adipic acid/hdi copolymer",abrasive,Cleansing and Exfoliating
pinus pinaster seedcake powder,abrasive,Cleansing and Exfoliating
momordica charantia leaf extract,abrasive,Cleansing and Exfoliating
hydroxybutyric acid/hydroxypentanoic acid copolymer,abrasive,Cleansing and Exfoliating
yokuinin,abrasive,Cleansing and Exfoliating
kurumi kaku,abrasive,Cleansing and Exfoliating
prunus mume seed powder,abrasive,Cleansing and Exfoliating
feldspar powder,abrasive,Cleansing and Exfoliating
emerald,abrasive,Cleansing and Exfoliating
citrus unshiu flower powder,abrasive,Cleansing and Exfoliating
crataegus monogyna powder,abrasive,Cleansing and Exfoliating
sedimentary rock powder,abrasive,Cleansing and Exfoliating
siraitia grosvenorii fruit powder,abrasive,Cleansing and Exfoliating
silkworm frass,abrasive,Cleansing and Exfoliating
aluminum isopropoxide,abrasive,Cleansing and Exfoliating
euterpe oleracea seed powder,abrasive,Cleansing and Exfoliating
pinus pinaster bark powder,abrasive,Cleansing and Exfoliating
lactide,abrasive,Cleansing and Exfoliating
castanea crenata pellicle powder,abrasive,Cleansing and Exfoliating
wollastonite,abrasive,Cleansing and Exfoliating
schist,abrasive,Cleansing and Exfoliating
sodalite powder,abrasive,Cleansing and Exfoliating
alexandrite powder,abrasive,Cleansing and Exfoliating
limonia acidissima shell powder,abrasive,Cleansing and Exfoliating
arrabidaea chica leaf powder,abrasive,Cleansing and Exfoliating
eugenia uniflora leaf powder,abrasive,Cleansing and Exfoliating
glycol/sebacic acid copolymer,abrasive,Cleansing and Exfoliating
lithothamnion calcareum powder,abrasive,Cleansing and Exfoliating
anacardium occidentale peduncle fiber,abrasive,Cleansing and Exfoliating
centaurea cyanus seed,abrasive,Cleansing and Exfoliating
annona muricata seedcake powder,abrasive,Cleansing and Exfoliating
carapa guianensis seed powder,abrasive,Cleansing and Exfoliating
nasturtium officinale leaf powder,abrasive,Cleansing and Exfoliating
acer rubrum bark powder,abrasive,Cleansing and Exfoliating
lithothamnion corallioides powder,abrasive,Cleansing and Exfoliating
"1,4-butanediol/succinic acid/adipic acid copolymer",abrasive,Cleansing and Exfoliating
polypropanediol-2,abrasive,Cleansing and Exfoliating
sclerocarya birrea seedcake,abrasive,Cleansing and Exfoliating
prunus armeniaca shell powder,abrasive,Cleansing and Exfoliating
beta vulgaris root pulp powder,abrasive,Cleansing and Exfoliating
calophyllum inophyllum seedcake powder,abrasive,Cleansing and Exfoliating
hymenaea courbaril seedcoat powder,abrasive,Cleansing and Exfoliating
marliolide ethyl ether,abrasive,Cleansing and Exfoliating
tungsten disulfide,abrasive,Cleansing and Exfoliating
hippophae rhamnoides husk powder,abrasive,Cleansing and Exfoliating
oenothera biennis seed,abrasive,Cleansing and Exfoliating
olea europaea husk powder,abrasive,Cleansing and Exfoliating
magnesium sodium fluorosilicate,abrasive,Cleansing and Exfoliating
citrullus lanatus seed powder,abrasive,Cleansing and Exfoliating
passiflora edulis seed powder,abrasive,Cleansing and Exfoliating
polylactic acid,abrasive,Cleansing and Exfoliating
triticum vulgare bran,abrasive,Cleansing and Exfoliating
carapa guaianensis seed powder,abrasive,Cleansing and Exfoliating
chalk,abrasive,Cleansing and Exfoliating
vanilla planifolia seed powder,abrasive,Cleansing and Exfoliating
coffea arabica seed powder,abrasive,Cleansing and Exfoliating
argania spinosa shell powder,abrasive,Cleansing and Exfoliating
citrullus lanatus seed,abrasive,Cleansing and Exfoliating
silicon,abrasive,Cleansing and Exfoliating
humidophila sp. kas 1307,abrasive,Cleansing and Exfoliating
radium ore powder,abrasive,Cleansing and Exfoliating
achras sapota seed oil,abrasive,Cleansing and Exfoliating
urtica dioica leaf powder,abrasive,Cleansing and Exfoliating
orbignya phalerata mesocarp powder,abrasive,Cleansing and Exfoliating
avena sativa hull fiber,abrasive,Cleansing and Exfoliating
charcoal,abrasive,Cleansing and Exfoliating
europium/yttrium oxide sulfide,abrasive,Cleansing and Exfoliating
camellia japonica peel powder,abrasive,Cleansing and Exfoliating
vaccinium vitis-idaea seedcake powder,abrasive,Cleansing and Exfoliating
moroccan lava clay,absorbent,Oil and Sebum Control
paecilomyces japonica/grape/cucumber juice extract ferment filtrate,absorbent,Oil and Sebum Control
magnesium silicate,absorbent,Oil and Sebum Control
hydrolyzed caesalpinia spinosa gum,absorbent,Oil and Sebum Control
charcoal powder,absorbent,Oil and Sebum Control
bentonite,absorbent,Oil and Sebum Control
solum diatomeae,absorbent,Oil and Sebum Control
solum fullonum,absorbent,Oil and Sebum Control
calcium silicate,absorbent,Oil and Sebum Control
magnesium trisilicate,absorbent,Oil and Sebum Control
wood powder,absorbent,Oil and Sebum Control
triticum vulgare starch,absorbent,Oil and Sebum Control
vinyldimethyl/trimethylsiloxysilicate stearyl dimethicone crosspolymer,absorbent,Oil and Sebum Control
sodium polyacrylate starch,absorbent,Oil and Sebum Control
polyethyloxazoline,absorbent,Oil and Sebum Control
cyclodextrin,absorbent,Oil and Sebum Control
oryza sativa starch,absorbent,Oil and Sebum Control
sasa senanensis leaf powder,absorbent,Oil and Sebum Control
sodium starch octenylsuccinate,absorbent,Oil and Sebum Control
acrylates crosspolymer,absorbent,Oil and Sebum Control
zea mays starch,absorbent,Oil and Sebum Control
sodium/aluminum hydroxide/oxalate/sulfate,absorbent,Oil and Sebum Control
ulva lactuca powder,absorbent,Oil and Sebum Control
umber,absorbent,Oil and Sebum Control
sodium magnesium fluorosilicate,absorbent,Oil and Sebum Control
citrus grandis peel powder,absorbent,Oil and Sebum Control
sodium/aluminum/iron hydroxide/oxalate/sulfate,absorbent,Oil and Sebum Control
tanakura clay,absorbent,Oil and Sebum Control
aluminum triphosphate,absorbent,Oil and Sebum Control
volcanic ash,absorbent,Oil and Sebum Control
sodium silver aluminum silicate,absorbent,Oil and Sebum Control
hydrolyzed corn starch octenylsuccinate,absorbent,Oil and Sebum Control
helianthus annuus seed flour,absorbent,Oil and Sebum Control
hordeum vulgare flour,absorbent,Oil and Sebum Control
hydrated silica,absorbent,Oil and Sebum Control
magnesium oxide,absorbent,Oil and Sebum Control
distarch glyceryl ether,absorbent,Oil and Sebum Control
amylodextrin,absorbent,Oil and Sebum Control
silica,absorbent,Oil and Sebum Control
orbignya speciosa mesocarp extract,absorbent,Oil and Sebum Control
potassium aluminum polyacrylate,absorbent,Oil and Sebum Control
ammonium silver zinc aluminum silicate,absorbent,Oil and Sebum Control
limonia acidissima wood powder,absorbent,Oil and Sebum Control
dimethylimidazolidinone rice starch,absorbent,Oil and Sebum Control
elguea clay,absorbent,Oil and Sebum Control
avena sativa starch,absorbent,Oil and Sebum Control
nylon-611,absorbent,Oil and Sebum Control
sodium acetyl cysteinate,absorbent,Oil and Sebum Control
clay,absorbent,Oil and Sebum Control
talc,absorbent,Oil and Sebum Control
kaolin,absorbent,Oil and Sebum Control
styrene methyltrimonium chloride crosspolymer,absorbent,Oil and Sebum Control
polymethacrylic acid crosspolymer,absorbent,Oil and Sebum Control
peg-5 pentaerythrityl dimethylol propionate-2 dendrimer,absorbent,Oil and Sebum Control
dvb/isobornyl methacrylate/lauryl methacrylate copolymer,absorbent,Oil and Sebum Control
pisum sativum starch,absorbent,Oil and Sebum Control
aluminum silicate,absorbent,Oil and Sebum Control
helichrysum italicum leaf cell extract,absorbent,Oil and Sebum Control
sodium naphthol sulfonate,absorbent,Oil and Sebum Control
ammonium silver zeolite,absorbent,Oil and Sebum Control
perfluoroheptane,absorbent,Oil and Sebum Control
